"result_id","manuscript_item","inputs","preprocessing","configuration","command","intermediate_outputs","final_outputs"
"contract_audit","Table S11; 38/39 statement","review_artifact/case_studies/tkde_leaderboard_snapshot.csv","filter to identical dataset, label, metric, ligand-pair input, and frozen split contract; compute PC-CFRL-full minus ECFP-XGB","39 frozen comparisons; LoHi included; DataSAIL, stronger-input, adaptation, reliability, and auxiliary tasks excluded","python reproduce_quick.py","review_artifact/toolkit/generated/contract_leaderboard_deltas.csv","review_artifact/toolkit/generated/contract_audit_summary.json"
"fig1","Fig. 1 benchmark mechanism map","benchmark schema and manuscript protocol definitions","manual mechanism-map composition; no numerical aggregation","single-panel white-background publication layout","not data-generated","none","review_artifact/figures/pdf/Fig1_GIGraph_final.pdf"
"fig2","Fig. 2 leakage audit","review_artifact/case_studies/tkde_benchmark_split_manifest.csv; review_artifact/tables/table_01_split_leakage_audit.csv","aggregate residual pair, ligand, scaffold, and class-balance statistics over frozen folds","fixed split records and figure_palette_fixed.json","python scripts/draw_fig2_4.py","review_artifact/figures/source/Fig2_source_data.csv","review_artifact/figures/pdf/Fig2_data_quality_leakage_matrix.pdf"
"fig3","Fig. 3 hard-OOD effects","review_artifact/tables/table_02_acnet_hard_ood_main.csv; review_artifact/tables/table_09a_moleculeace_external.csv","paired seed-fold ROC-AUC differences under identical ligand-pair input","five seeds by five folds where applicable; fixed palette","python scripts/draw_fig2_4.py","review_artifact/figures/source/Fig3_source_data.csv","review_artifact/figures/pdf/Fig3_hard_ood_forest.pdf"
"fig4","Fig. 4 transfer effects","review_artifact/tables/table_05_crossdb_prospective_topk.csv","join cross-database and historical-release evaluations; compute paired method endpoints","frozen destination rows and fixed palette","python scripts/draw_fig2_4.py","review_artifact/figures/source/Fig4_source_data.csv","review_artifact/figures/pdf/Fig4_crossdb_prospective_dumbbell.pdf"
"fig5","Fig. 5 reliability and retained-set accuracy","review_artifact/tables/table_06a_selective_prediction.csv; review_artifact/tables/table_06b_conformal_prediction.csv; review_artifact/tables/table_14a_p0_p1_calibration_bins.csv; review_artifact/tables/table_14b_p0_p1_risk_coverage.csv","assemble calibration, conformal, and score-thresholded retention curves","frozen calibration folds; fixed palette","python scripts/draw_fig5_7.py","review_artifact/figures/source/Fig5_source_data.csv","review_artifact/figures/pdf/Fig5_reliability_curves.pdf"
"fig6","Fig. 6 robustness stress matrix","review_artifact/tables/table_04_lohi_datasail_style.csv; review_artifact/tables/table_07_noise_censoring_sensitivity.csv; review_artifact/tables/table_16_official_datasail_exact_split.csv","align stress conditions and compute signed ROC-AUC differences","frozen stress grid; fixed palette","python scripts/draw_fig5_7.py","review_artifact/figures/source/Fig6_source_data.csv","review_artifact/figures/pdf/Fig6_robustness_stress_heatmap.pdf"
"fig7","Fig. 7 molecular-pair cases","review_artifact/case_studies/tkde_failure_case_studies.csv; review_artifact/case_studies/tkde_sar_literature_case_table.csv","select frozen representative pairs and render 2D structures with RDKit","case identifiers frozen before rendering; fixed palette","python scripts/draw_fig5_7.py","review_artifact/figures/source/Fig7_source_data.csv","review_artifact/figures/pdf/Fig7_rdkit_case_cards.pdf"
"sfig1","Fig. S1 split construction","review_artifact/case_studies/tkde_benchmark_split_manifest.csv","summarize split construction and leakage predicates","frozen split definitions; fixed palette","python scripts/draw_sfig1_6.py","review_artifact/figures/source/SFig1_source_data.csv","review_artifact/figures/pdf/SFig1_split_construction_leakage.pdf"
"sfig2","Fig. S2 raw-data quality","review_artifact/case_studies/tkde_raw_data_quality_summary.csv; review_artifact/case_studies/tkde_benchmark_split_manifest.csv","aggregate curation and fold-retention diagnostics","raw-source snapshot fixed by SOURCE_SNAPSHOT_MANIFEST.csv","python scripts/draw_sfig1_6.py","review_artifact/figures/source/SFig2_source_data_quality.csv; review_artifact/figures/source/SFig2_source_data_manifest.csv","review_artifact/figures/pdf/SFig2_raw_data_quality.pdf"
"sfig3","Fig. S3 method-by-split matrix","review_artifact/tables/table_02_acnet_hard_ood_main.csv; review_artifact/tables/table_03_raw_source_temporal_main.csv; review_artifact/tables/table_04_lohi_datasail_style.csv","align methods and split contracts; pivot ROC-AUC matrix","frozen applicable rows; fixed palette","python scripts/draw_sfig1_6.py","review_artifact/figures/source/SFig3_source_data.csv","review_artifact/figures/pdf/SFig3_full_method_split_heatmap.pdf"
"sfig4","Fig. S4 calibration and risk coverage","review_artifact/tables/table_14a_p0_p1_calibration_bins.csv; review_artifact/tables/table_14b_p0_p1_risk_coverage.csv","assemble calibration bins and retained-risk trajectories","frozen score files; fixed palette","python scripts/draw_sfig1_6.py","review_artifact/figures/source/SFig4_source_data.csv","review_artifact/figures/pdf/SFig4_calibration_risk_coverage.pdf"
"sfig5","Fig. S5 sensitivity curves","review_artifact/tables/table_07_noise_censoring_sensitivity.csv","order threshold, censoring, and perturbation conditions","frozen sensitivity grid; fixed palette","python scripts/draw_sfig1_6.py","review_artifact/figures/source/SFig5_source_data.csv","review_artifact/figures/pdf/SFig5_sensitivity_curves.pdf"
"sfig6","Fig. S6 molecular-pair gallery","review_artifact/case_studies/tkde_failure_case_studies.csv","select frozen case rows and render 2D structures with RDKit","case identifiers frozen before rendering; fixed palette","python scripts/draw_sfig1_6.py","review_artifact/figures/source/SFig6_source_data.csv","review_artifact/figures/pdf/SFig6_rdkit_case_gallery.pdf"
"sfig7","Fig. S7 explanation stability","review_artifact/figures/source/SFig7_source_data.csv","plot frozen explanation-stability summaries","fixed palette","python scripts/draw_fig1_sfig7_sfig8.py","review_artifact/figures/source/SFig7_source_data.csv","review_artifact/figures/pdf/SFig7_explanation_stability.pdf"
"sfig8","Fig. S8 ranking utility","review_artifact/tables/table_05_crossdb_prospective_topk.csv","assemble top-k, BEDROC, and enrichment summaries","fixed ranking cutoffs; fixed palette","python scripts/draw_fig1_sfig7_sfig8.py","review_artifact/figures/source/SFig8_source_data.csv","review_artifact/figures/pdf/SFig8_topk_ranking_utility.pdf"
"sfig9","Fig. S9 label efficiency","review_artifact/figures/source/SFig9_source_data.csv","plot frozen support-size and acquisition-policy summaries","query-disjoint support protocols; fixed palette","python scripts/draw_sfig9_fewshot_label_efficiency.py","review_artifact/figures/source/SFig9_source_data.csv","review_artifact/figures/pdf/SFig9_fewshot_label_efficiency.pdf"
"split_audit","Main split table; Table S1","ACNet; MoleculeACE; reconstructed ChEMBL and BindingDB pair rows","freeze evaluation rows; purge prohibited overlap channels; audit retained mass","seed and fold records fixed before model comparison","python scripts/freeze_tkde_benchmark_splits.py","review_artifact/case_studies/tkde_benchmark_split_manifest.csv","review_artifact/tables/table_01_split_leakage_audit.csv"
