priority,experiment,status,artifact,artifact_exists,detail,notes
P0,Frozen leakage-audited benchmark splits,done,results/tkde_benchmark_split_manifest.csv,True,,
P0,ACNet target-cluster/cold-ligand hard OOD,done,results/acnet_target_family_best_joint_seed0_4_allfold_n10_summary.csv,True,,
P0,MoleculeACE external target-cluster controls,done,results/moleculeace_target_family_pairs_seed0_4_n120_summary.csv,True,,
P0,MTPNet same-source split and cold-target controls,done,results/mtpnet_cold_target_analysis.md,True,,
P0,Raw ChEMBL source/temporal benchmark,done,results/chembl_raw_source_temporal_pairs_seed0_4_n40_summary.csv,True,,
P0,Raw BindingDB source-purged benchmark,done,results/bindingdb_raw_source_pairs_seed0_4_n80_summary.csv,True,,
P0,LoHi/DataSAIL-style leakage-aware split,done,results/tkde_lohi_leakage_splits_seed0_2_summary.csv,True,,
P0,Raw external selective/conformal reliability,done,results/tkde_raw_reliability_seed0_2_conformal_summary.csv,True,,
P0,Cross-database transfer,done,results/tkde_remaining_p0_p1_seed0_2_summary.csv,True,,
P0,Prospective temporal validation,done,results/tkde_remaining_p0_p1_seed0_2_summary.csv,True,,
P0,Top-k enrichment and BEDROC utility,done,results/tkde_remaining_p0_p1_seed0_2_summary.csv,True,,
P0,Statistical effect sizes and multiplicity,done,results/tkde_statistical_effects_audit.csv,True,,
P1,Noise/censoring sensitivity,done,results/tkde_noise_sensitivity_seed0_2_summary.csv,True,,
P1,Non-neural baseline stress tests,done,results/tkde_non_neural_baselines_chembl_seed0_4_summary.csv,True,,
P1,Neural and shuffled target controls,done,results/acnet_target_family_neural_controls_full25_summary.csv,True,,
P1,Target/assay pretraining controls,done,results/acnet_target_assay_strengthening_current_no_shufpairs_summary.csv,True,,
P1,Success/failure case studies,done,results/tkde_failure_case_studies.csv,True,,
P2,Leaderboard snapshot and schema,done,results/tkde_leaderboard_snapshot.csv,True,,
P2,Runtime and scalability,done,results/tkde_runtime_scalability.csv,True,,
P2,Official DataSAIL optimizer exact split,done,results/official_datasail_exact_split.csv,True,official DataSAIL 1.3.0 C2/ECFP source-purged split audit completed in Python 3.12; missing source identifiers are normalized to empty source sets,official DataSAIL 1.3.0 C2/ECFP source-purged split audit completed in Python 3.12; not-selected interactions are excluded from model train/test and BindingDB fold2 is skipped by the minimum-test threshold
P2,Official DataSAIL multi-cluster sensitivity,done,results/tkde_experiment_tables_2026_05_20/table_17_official_datasail_multicluster_sensitivity.csv,True,clusters 20 and 40 completed; clusters 80 documented as official DataSAIL C2 solver-boundary configuration,clusters 20 and 40 support the BindingDB-positive/ChEMBL-boundary conclusion while clusters 80 returns no assignment even after a 300-second retry
