table_id,title,rows,csv_path,tex_path,sources,csv,tex,source
table_01_split_leakage_audit,Frozen split leakage audit,9.0,results/tkde_experiment_tables_2026_05_20/table_01_split_leakage_audit.csv,results/tkde_experiment_tables_2026_05_20/table_01_split_leakage_audit.tex,results/tkde_benchmark_split_manifest.csv,,,
table_02_acnet_hard_ood_main,ACNet hard-OOD main results,9.0,results/tkde_experiment_tables_2026_05_20/table_02_acnet_hard_ood_main.csv,results/tkde_experiment_tables_2026_05_20/table_02_acnet_hard_ood_main.tex,results/acnet_target_family_best_joint_seed0_4_allfold_n10_summary.csv,,,
table_03_raw_source_temporal_main,Raw ChEMBL and BindingDB source/temporal results,18.0,results/tkde_experiment_tables_2026_05_20/table_03_raw_source_temporal_main.csv,results/tkde_experiment_tables_2026_05_20/table_03_raw_source_temporal_main.tex,results/chembl_raw_source_temporal_pairs_seed0_4_n40_summary.csv; results/bindingdb_raw_source_pairs_seed0_4_n80_summary.csv,,,
table_04_lohi_datasail_style,LoHi/DataSAIL-style leakage-aware splits,12.0,results/tkde_experiment_tables_2026_05_20/table_04_lohi_datasail_style.csv,results/tkde_experiment_tables_2026_05_20/table_04_lohi_datasail_style.tex,results/tkde_lohi_leakage_splits_seed0_2_summary.csv,,,
table_05_crossdb_prospective_topk,"Cross-database, prospective, and top-k utility results",56.0,results/tkde_experiment_tables_2026_05_20/table_05_crossdb_prospective_topk.csv,results/tkde_experiment_tables_2026_05_20/table_05_crossdb_prospective_topk.tex,results/tkde_remaining_p0_p1_seed0_2_summary.csv,,,
table_06a_selective_prediction,Selective prediction reliability,42.0,results/tkde_experiment_tables_2026_05_20/table_06a_selective_prediction.csv,results/tkde_experiment_tables_2026_05_20/table_06a_selective_prediction.tex,results/tkde_raw_reliability_seed0_2_selective_summary.csv; results/acnet_selective_prediction_seed0_4_n10_summary.csv,,,
table_06b_conformal_prediction,Conformal prediction reliability,24.0,results/tkde_experiment_tables_2026_05_20/table_06b_conformal_prediction.csv,results/tkde_experiment_tables_2026_05_20/table_06b_conformal_prediction.tex,results/tkde_raw_reliability_seed0_2_conformal_summary.csv; results/acnet_conformal_prediction_seed0_4_n10_summary.csv,,,
table_07_noise_censoring_sensitivity,Raw label-noise and censoring sensitivity,30.0,results/tkde_experiment_tables_2026_05_20/table_07_noise_censoring_sensitivity.csv,results/tkde_experiment_tables_2026_05_20/table_07_noise_censoring_sensitivity.tex,results/tkde_noise_sensitivity_seed0_2_summary.csv,,,
table_08_non_neural_baselines,Non-neural baseline stress tests,24.0,results/tkde_experiment_tables_2026_05_20/table_08_non_neural_baselines.csv,results/tkde_experiment_tables_2026_05_20/table_08_non_neural_baselines.tex,results/tkde_non_neural_baselines_chembl_seed0_4_summary.csv; results/tkde_non_neural_baselines_bindingdb_seed0_4_summary.csv,,,
table_09a_moleculeace_external,MoleculeACE external target-family controls,6.0,results/tkde_experiment_tables_2026_05_20/table_09a_moleculeace_external.csv,results/tkde_experiment_tables_2026_05_20/table_09a_moleculeace_external.tex,results/moleculeace_target_family_pairs_seed0_4_n120_summary.csv,,,
table_09b_mtpnet_controls,MTPNet split and cold-target controls,9.0,results/tkde_experiment_tables_2026_05_20/table_09b_mtpnet_controls.csv,results/tkde_experiment_tables_2026_05_20/table_09b_mtpnet_controls.tex,results/mtpnet_csv_xgb_seed0_4.jsonl; results/mtpnet_cold_target_xgb_seed0_4.jsonl; results/mtpnet_cold_target_saprot_xgb_seed0_4.jsonl,,,
table_10a_acnet_neural_controls,ACNet neural and shuffled target controls,8.0,results/tkde_experiment_tables_2026_05_20/table_10a_acnet_neural_controls.csv,results/tkde_experiment_tables_2026_05_20/table_10a_acnet_neural_controls.tex,results/acnet_target_family_neural_controls_full25_summary.csv,,,
table_10b_target_assay_pretraining_controls,Target/assay pretraining controls,8.0,results/tkde_experiment_tables_2026_05_20/table_10b_target_assay_pretraining_controls.csv,results/tkde_experiment_tables_2026_05_20/table_10b_target_assay_pretraining_controls.tex,results/acnet_target_assay_strengthening_current_no_shufpairs_summary.csv,,,
table_10c_few_pretrained_representations,Few-shot pretrained representation controls,32.0,results/tkde_experiment_tables_2026_05_20/table_10c_few_pretrained_representations.csv,results/tkde_experiment_tables_2026_05_20/table_10c_few_pretrained_representations.tex,results/acnet_few_pretrained_representation_summary.csv,,,
internal_graph_gcn_baseline,End-to-end graph-pair GCN stress control,2.0,results/internal_graph_gcn_baseline_summary.csv,,results/internal_graph_gcn_baseline_seed0_4.jsonl; results/internal_graph_gcn_baseline_analysis.md,internal_graph_gcn_baseline_summary.csv,,results/internal_graph_gcn_baseline_summary.csv
table_11_statistical_effects,Paired statistical effect-size audit,200.0,results/tkde_experiment_tables_2026_05_20/table_11_statistical_effects.csv,results/tkde_experiment_tables_2026_05_20/table_11_statistical_effects.tex,results/tkde_statistical_effects_audit.csv,,,
table_12_runtime_scalability,Runtime and scalability profile,6.0,results/tkde_experiment_tables_2026_05_20/table_12_runtime_scalability.csv,results/tkde_experiment_tables_2026_05_20/table_12_runtime_scalability.tex,results/tkde_runtime_scalability.csv,,,
table_13_target_failure_taxonomy,Target-level failure taxonomy,2856.0,results/tkde_experiment_tables_2026_05_20/table_13_target_failure_taxonomy.csv,results/tkde_experiment_tables_2026_05_20/table_13_target_failure_taxonomy.tex,results/tkde_remaining_p0_p1_seed0_2_target_failure_taxonomy.csv,,,
table_14a_p0_p1_calibration_bins,Cross-database/prospective calibration bins,1680.0,results/tkde_experiment_tables_2026_05_20/table_14a_p0_p1_calibration_bins.csv,results/tkde_experiment_tables_2026_05_20/table_14a_p0_p1_calibration_bins.tex,results/tkde_remaining_p0_p1_seed0_2_calibration_bins.csv,,,
table_14b_p0_p1_risk_coverage,Cross-database/prospective risk-coverage curves,1008.0,results/tkde_experiment_tables_2026_05_20/table_14b_p0_p1_risk_coverage.csv,results/tkde_experiment_tables_2026_05_20/table_14b_p0_p1_risk_coverage.tex,results/tkde_remaining_p0_p1_seed0_2_risk_coverage.csv,,,
